,0
1703,"Year 1492 (MCDXCII) was a leap year starting on Sunday (link will display the full calendar) of the Julian calendar.
1492 is considered to be a significant year in the history of the West, Europe, Christianity, Islam, Judaism, Spain, and the New World, among others, because of the number of significant events that took place.
The events which propelled the year into Western consciousness, listed below, include the completion of the Reconquista of Spain, Europe's (Spain) discovery of the New World, and the expulsion of Jews from Spain."
1704,"James L. Fox (born April 7, 1943) is an American former professional basketball player.

"
1705,"New Mal Junction (station code NMZ)   is the major and very important among two railway stations which serves Malbazar town, the other being Malbazar Railway Station (code MLBZ). This station is commonly known as Mal, It lies in Jalpaiguri district of West Bengal. New Mal Junction lies on two railway line New Jalpaiguri–Alipurduar–Samuktala Road line and is the originating point of New Mal–Changrabandha–New Cooch Behar line. New Mal is the headquarter station of Sub-Divisional Railway officer designated as Assistant Divisional Engineer."
1706,"Mark Opzoomer was the CEO of Rambler Media from March 2007 till February 2009, having been non-executive director from 16 March 2005. Before joining Rambler, Mark served as the Regional Vice President & Managing Director, YAHOO! Europe from July 2001 to December 2003.Opzoomer graduated with an MBA from IMD, Lausanne, Switzerland. He qualified as a chartered accountant with PwC in 1981.He married Rosemary Leith, later a founding director of the World Wide Web Foundation; the couple had three children, after which she left the financial sector, co-founding a start-up during the dot-com bubble."
1707,"The 4th Asian Table Tennis Championships 1978 were held in Kuala Lumpur, Malaysia, from 22 November to 2 December 1978. It was organised by the Table Tennis Association of Malaysia under the authority of Asian Table Tennis Union (ATTU) and International Table Tennis Federation (ITTF)."
1708,"Down is one of the six counties comprising Northern Ireland.
County Down was represented in the Northern Ireland House of Commons 1921–1973. This article deals with the Down County constituencies. For the County Down Borough constituencies in the City of Belfast, see Belfast (Northern Ireland Parliament constituencies). See also the List of Northern Ireland Parliament constituencies 1921-1973."
1709,"Hainan Township (simplified Chinese: 海南乡; traditional Chinese: 海南鄉; pinyin: Hǎinán Xiāng) is a township under the administration of Hailun, in Heilongjiang, China. As of 2018, it has 10 villages under its administration."
1710,"Kenny ""Pancho"" Hagood (April 2, 1926 – November 9, 1989) was an American jazz vocalist.

"
1711,"R' Kiz  or Rkiz is a town and urban commune in the Trarza Region of south-western Mauritania.In 2000 it had a population of 10,688.
It is located to the north of the lake of the same name."
1712,Progomphus borealis is a species of dragonfly in the family Gomphidae. This dragonfly species is commonly known as the gray sanddragon.
1713,"Lot Thomas (October 17, 1843 – March 17, 1905) was a state-court judge who also served three terms as a Republican U.S. Representative from Iowa's now-obsolete 11th congressional district, in northwestern Iowa.
Born on a farm near Markleysburg, Pennsylvania to Christian and Susan Fiske Thomas, Lot Thomas attended the public schools in Pennsylvania, then Vermillion Institute in Hayesville, Ohio.
He moved to Iowa in 1868.  After teaching school in New Virginia, in Warren County, he attended the University of Iowa College of Law.   He was admitted to the bar in 1870.
That year he moved to Sioux Rapids in Buena Vista County, Iowa, where he started his law practice.  When the county seat was moved to Storm Lake, Thomas also moved there.He was Buena Vista County Attorney from 1872 to 1885.  From 1885 until 1898, he served as judge of the fourteenth judicial district of Iowa (which included Buena Vista, Palo Alto, Pocahontas, Dickinson, Emmett, Kossuth, Humboldt, and Clay Counties).In February 1898, Thomas challenged incumbent Republican Congressman George D. Perkins for the Republican nomination for the 11th congressional district seat held by Perkins since 1891.  After defeating Perkins for the nomination on the 217th ballot, he resigned his judgeship effective August 16, 1898. Thomas won the general election, and in 1899 became a member of the Fifty-sixth Congress.  He was re-elected twice, and served in the Fifty-seventh, and Fifty-eighth Congresses.
Thomas' service in Congress coincided with a worsening of factionalism within the Iowa Republican Party, with an ""insurgent"" contingent loyal to the career and platform of Des Moines attorney (and later Governor and U.S. Senator) Albert B. Cummins, and another ""stand-patter""  faction hostile toward Cummins.  Thomas was considered a leader in the pro-Cummins faction. He also served on the House Committee on the Judiciary.
He tried and failed to win renominated by his party in 1904.  In all, Thomas served in Congress from March 4, 1899, to March 3, 1905.
Thomas lived only two weeks following the end of his congressional service. In poor health and in search of a more hospitable setting, died on a train near Yuma, Arizona on March 17, 1905, while en route to Los Angeles, California.  He was interred in Storm Lake Cemetery."
1714,"Grand Home Furnishings is a regional chain of furniture stores headquartered in Roanoke, Virginia, in the United States.  In May 2006, Grand operated fourteen retail stores in Virginia, two in Tennessee and two in West Virginia. Grand recently opened a retail store in the Smith Mountain Lake community of Franklin County, Virginia. Grand also has a warehouse furniture outlet in Roanoke. Grand's stores and outlets are supplied by four distribution centers in Virginia and one in Tennessee.
The chain's first location was opened in downtown Roanoke in 1911 under the name Grand Piano Company and specialized in pianos, other musical instruments and related merchandise. During the 1930s, the company added furniture, radios and phonographs. When purchased in 1945 by the Cartledge family, the name was changed to the Grand Piano and Furniture Company. In the 1950s, the chain began to expand outside of Roanoke into Southwest Virginia, the Shenandoah Valley and, eventually, other states.
Grand eventually stopped selling pianos and assumed its current name, Grand Home Furnishings, in 1998. Many in the Roanoke area still commonly refer to the chain as Grand Piano.
Grand may be best known for offering a cold, eight-ounce bottle of Coca-Cola to customers as they enter the store. The tradition began at a Lynchburg, Virginia, store opening in 1953 and was soon adopted by the entire chain. Grand hands out over one million bottles of Coke per year.Grand built a free standing location at Valley View Mall in 1991. This new store became the chain's flagship in the Roanoke area after the closure of its landmark downtown Roanoke location in the late 1990s.
Grand has made NASCAR cross promotions a primary focus of its marketing efforts since the 1990s. The company was a sponsor of the Winston Cup Wood Brothers racing team based in Stuart, Virginia, until 2004, and its drivers and cars frequently made promotional appearance at the chain's stores. Grand currently sponsors Kevin Wood's No. 20 Grand Home Furnishings Ford in the NASCAR sanctioned Whelen All-American Series.
In 2017, the industry newspaper Furniture Today ranked Grand Home Furnishings as the 55th largest furniture retailer in the U.S. with annual sales of US$129.4 million.Distributions centers are located in Virginia, West Virginia and Tennessee."
1715,"The 40th Golden Globe Awards, honoring the best in film and television for 1982, were given on 29 January 1983."
1716,"The Six Ancient Kilns (六古窯 Rokkoyō) is a category developed by Koyama Fujio (小山富士夫 1900–1975) in the post-war period to describe the most noteworthy ceramic kilns of Japan.The six kilns are:
Bizen ware (備前焼, Bizen-yaki), produced in Bizen, Okayama
Echizen ware (越前焼, Echizen-yaki), produced in Echizen, Odacho and Miyazaki, Fukui Prefecture
Seto ware (瀬戸焼, Seto-yaki), produced in Seto, Aichi Prefecture
Shigaraki ware (信楽焼, Shigaraki-yaki), produced in Kōka, Shiga, east of Lake Biwa
Tamba ware, also known as Tachikui ware (丹波立杭焼, Tamba-Tachikui-yaki), produced in Sasayama and Tachikui in Hyōgo
Tokoname ware (常滑焼, Tokoname-yaki), produced in Tokoname, Aichi PrefectureThe Okayama Prefectural Bizen Ceramic Museum held an exhibition in 2001 about the six kilns."
1717,This is a list of electoral results for the electoral district of Kara Kara in Victorian state elections.
1718,"Kumudam is a Tamil weekly magazine published in Chennai, India. It was founded in 1948 by S.A.P. Annamalai, and his close friend and confidante P.V. Parthasarathy. Now the magazine is published under the Kumudam Group, which also publishes other Tamil magazines including Kumudam Reporter, Kumudam Snehidi, Kumudam Bhakti, Kumudam Jothidam, Kumudam Theeranadhi. The Kumudam Group started a Telugu spiritual magazine called Kumudam Bhakthi Special.
It had a circulation of 620,000 copies in 1986. The web site kumudam.com attracted over 66,000 visitors in 2008 according to a Compete.com survey.

"
1719,"The Exposition universelle, internationale et coloniale was a world's fair including a colonial exhibition held at Parc de la Tête d'or in Lyon, France in 1894. The exposition drew unwanted attention with the assassination of French President Sadi Carnot during his visit on 24 July 1894; he died the day after. The exposition drew 3.8 million visitors."
1720,"Nephrogramma separata is a moth in the family Crambidae. It is found in North America, where it has been recorded from Arizona, New Mexico and Texas.The length of the forewings is 8–10 mm. Adults are on wing from July to September."
1721,"Pedro Álvarez de Toledo y Leiva, 1st Marquis of Mancera (c. 1585–1654), was a Spanish nobleman, general, colonial administrator, and diplomat. He served as Captain General of Galicia and Viceroy of Peru from December 18, 1639 to September 20, 1648."
1722,"The southern flying squirrel or the assapan (Glaucomys volans) is one of three species of the genus Glaucomys and one of three flying squirrel species found in North America. It is found in deciduous and mixed woods in the eastern half of North America, from southeastern Canada to Florida. Disjunct populations of this species have been recorded in the highlands of Mexico, Guatemala, and Honduras."
1723,"No Longer 17 (Hebrew: לא בת 17) is a 2003 Israeli drama written and directed by Itzhak Zepel Yeshurun.  It is the sequel to the director's 1982 film Noa at 17 and features actress Dahlia Shimko reprising her role as Noa, the idealistic teen who is now a middle-aged woman.
No Longer 17 premiered at the Haifa Film Festival in October 2003 where it won the Best Film award."
1724,"Philip Elmer-DeWitt (born September 8, 1949) is an American writer and editor. He was Time's first computer writer—producing much of the magazine's early coverage of personal computers and the Internet—and for 12 years its science editor.  He is currently writing a daily blog about Apple Inc. called Apple 3.0."
1725,Jemimah Gecaga (1920–1979) was the first woman to serve in the legislature of Kenya and founder of woman's advocacy organization Maendeleo Ya Wanawake.
1726,"Waiākea-Uka (IPA:/'waj.ə.kei.ə.'u.kə/) is an ancient subdivision (ahupuaʻa) in the Hilo District of the Big Island of Hawaiʻi, located mauka (mountain-side) of the Waiākea ahupua'a; its location is on the lower flanks of the volcano Mauna Loa. Because of this, one meaning of the name 'Waiākea-Uka' can be translated from 'Olelo Hawai'i as '(the) mountain-side (of) Waiākea'. Many ahupua'a have this -uka appellation, as the directions 'mountain-side' and 'sea-side' (makai) are the two best ways of orientating something in space on any of the islands."
1727,"M. V. Rathinam is an Indian politician and former Member of the Legislative Assembly of Tamil Nadu. He was elected to the Tamil Nadu legislative assembly as an Anna Dravida Munnetra Kazhagam candidate from Pollachi constituency in 1980, and 1984 elections."
1728,"Manohargad-Mansantoshgad Fort (Marathi: मनोहरगड -मनसंतोषगड) are two adjacent forts  located  on the same hill but separated by a saddle. This fort is situated at Shivapur, Tal - Kudal. The forts are 33 km from Sawantwadi and the same distance from Kudal Sindhudurg district of Maharashtra.  The forts are situated on the hill north of the base village Shivapur.The fort is located in the proximity of the Amboli hill station."
1729,"The George E. Brown, Jr. Network for Earthquake Engineering Simulation (NEES) was created by the National Science Foundation (NSF) to improve infrastructure design and construction practices to prevent or minimize damage during an earthquake or tsunami. Its headquarters were at Purdue University in West Lafayette, Indiana as part of cooperative agreement #CMMI-0927178, and it ran from 2009 till 2014. The mission of NEES is to accelerate improvements in seismic design and performance by serving as a collaboratory for discovery and innovation."
1730,"Club Deportivo Olimpia is a professional Honduran football club based in Tegucigalpa, Francisco Morazán.  The club is the nation's most successful team both in the domestic league and in international club competitions.

"
1731,"San Luis, officially the Municipality of San Luis (Cebuano: Lungsod sa San Luis; Tagalog: Bayan ng San Luis),  is a 1st class municipality in the province of Agusan del Sur, Philippines. According to the 2020 census, it has a population of 35,196 people. San Luis was created into a municipality on June 15, 1968, when the barrios of San Luis, Santa Inez, Nuevo Trabajo, Cualision and Baylo were separated from the municipality of Esperanza and constituted into the new town, through Republic Act 5262. Since the 1970s, the town's economy has been largely based on logging industries.

"
1732,"Tachypeles is a genus of beetles in the family Carabidae, containing the following species:
Tachypeles bechynei Deuve, 2004 
Tachypeles boulardi Deuve, 2004 
Tachypeles davidsoni Deuve, 2004 
Tachypeles degallieri Deuve, 2005 
Tachypeles durantoni Deuve, 2004 
Tachypeles hudsoni Deuve, 2004 
Tachypeles lecordieri Deuve, 2001 
Tachypeles moraguesi Deuve, 2005 
Tachypeles moretellus Deuve, 2005 
Tachypeles moretianus Deuve, 2004 
Tachypeles parallelipipedus Deuve, 2004 
Tachypeles perraulti Deuve, 2004 
Tachypeles rossii Deuve, 2004 
Tachypeles seriatopunctatoides Deuve, 2005 
Tachypeles shushufindiensis Deuve, 2005 
Tachypeles troglobioticus Deuve, 2004"
1733,"Matthew Archibald (1745 – January 18, 1820) was an Irish-born farmer, tanner and political figure in Nova Scotia. He represented Truro Township in the Nova Scotia House of Assembly from 1785 to 1799.
He was born in Derry, Northern Ireland, the son of Samuel Archibald and Eleanor Taylor, and came with his family to Londonderry, New Hampshire in 1757. The family moved to Nova Scotia five years later. In 1767, Archibald married Janet Fisher. He was named a justice of the peace and became coroner for Colchester District in 1786. He lived at Bible Hill; Archibald is believed to have given the town its name. Bible Hill continues to celebrate a festival in Archibald's honor yearly to commemorate his birthday. Archibald died in Truro.
His son Alexander Lackie Archibald also represented Truro in the assembly."
1734,"""Major Minus"" is a song by British rock band Coldplay. It was produced by Markus Dravs, Daniel Green and Rik Simpson, being the eighth track from the band's fifth studio album Mylo Xyloto (2011). The song takes its title from a fictional character of the same name created by the band, who is based on a collection of various media oligarchs and politicians."
1735,"Ancistrus nudiceps is a species of catfish in the family Loricariidae. It is native to South America, where it occurs in the Takutu River basin in the upper Branco River drainage in Guyana. The species reaches 7.9 cm (3.1 inches) SL.

"
1736,"The Free Aceh Movement (Indonesian: Gerakan Aceh Merdeka, GAM; Acehnese: Geurakan Acèh Meurdèka / Gěrakan Aceh Měrdeka) was a separatist group seeking independence for the Aceh region of Sumatra, Indonesia.  GAM fought against Indonesian government forces in the Aceh insurgency from 1976 to 2005, during which over 15,000 lives are believed to have been lost.The organisation surrendered its separatist intentions and dissolved its armed wing following 2005 peace agreement with the Indonesian government, and subsequently changed its name into Aceh Transition Committee (Indonesian: Komite Peralihan Aceh, KPA). The Indonesian government called the group the Aceh Security Disturbance Movement.

"
1737,"The heat death of the universe (also known as the Big Chill or Big Freeze) is a hypothesis on the ultimate fate of the universe, which suggests the universe will evolve to a state of no thermodynamic free energy and will, therefore, be unable to sustain processes that increase entropy. Heat death does not imply any particular absolute temperature; it only requires that temperature differences or other processes may no longer be exploited to perform work. In the language of physics, this is when the universe reaches thermodynamic equilibrium. The Heat Death theory has become the leading theory in the modern age with the fewest unpredictable factors.
If the topology of the universe is open or flat, or if dark energy is a positive cosmological constant (both of which are consistent with current data), the universe will continue expanding forever, and a heat death is expected to occur, with the universe cooling to approach equilibrium at a very low temperature after a very long time period.
The hypothesis of heat death stems from the ideas of Lord Kelvin, who in the 1850s took the theory of heat as mechanical energy loss in nature (as embodied in the first two laws of thermodynamics) and extrapolated it to larger processes on a universal scale. This also allowed Kelvin to formulate the heat death paradox, which disproves an infinitely old universe."
1738,Yohan Baï (born 28 September 1996) is a French professional footballer who plays as a midfielder for  Ligue 2 club Bastia.
1739,"Novochukurovo (Russian: Новочукурово) is a rural locality (a village) in Aksaitovsky Selsoviet, Tatyshlinsky District, Bashkortostan, Russia. The population was 98 as of 2010. There are 2 streets.

"
1740,"Ray Erickson (April 5, 1918 – November 28, 2002) was an American stock car racing driver. A Chicago, Illinois native, he ran four races in the inaugural season of the NASCAR Strictly Stock Series, finishing seventh in points with a best finish of second in his debut at Hamburg Speedway. Due in part to losing his arm in a hot rod accident in 1950, he would only run eight more races over the next four years, finishing no better than 17th.
Erickson was the listed owner of the #3 Hudson Hornet of Dick Rathmann for Rathmann's victory at Oakland in 1954."
1741,"Metasequoia glyptostroboides, the dawn redwood, is a fast-growing, endangered deciduous conifer. It is the sole living species of the genus Metasequoia, one of three genera in the subfamily Sequoioideae of the family Cupressaceae. It now survives only in wet lower slopes and montane river and stream valleys in the border region of Hubei and Hunan provinces and Chongqing municipality in south-central China, notably in Lichuan county in Hubei. Although the shortest of the redwoods, it can grow to 120 ft (37 m) in height.In 1941, the genus Metasequoia was reported by paleobotanist Shigeru Miki as a widely distributed extinct genus based on fossils, before attracting considerable attention a few years later when small populations were found alive in central China. It is a particularly well-known example of a living fossil species. The tree faces considerable risks of extinction in its wild range due to deforestation, however it has been planted extensively in arboreta worldwide, where it has proved a popular and fast-growing ornamental plant. If the species had been discovered later, it might have become extinct before being investigated."
1742,"Epsilon Piscis Austrini, Latinized from ε Piscis Austrini, is a blue-white hued star in the southern constellation of Piscis Austrinus. It is visible to the naked eye with an apparent visual magnitude of +4.17. Based upon an annual parallax shift of 8.0981 ± 0.3582 mas as seen from the GAIA satellite, the system is located roughly 400 light years from the Sun.This is a B-type main sequence star with a stellar classification of B8 Ve. It is a Be star that is spinning rapidly with a projected rotational velocity of 216 km/s, compared to an equatorial critical velocity of 301 km/s. The star has 4.1 times the mass of the Sun and is radiating 661 times the solar luminosity from its photosphere at an effective temperature of 11,066 K.Epsilon Piscis Austrini is moving through the Galaxy at a speed of 18.7 km/s relative to the Sun. Its projected Galactic orbit carries it between 23,917 and 28,138 light-years from the center of the Galaxy."
1743,"Peace Arch SC was a Canadian soccer team, founded in 2007. The team was a member of the Pacific Coast Soccer League (PCSL), a recognized Division III league in the American Soccer Pyramid which featured teams from western Canada and the Pacific Northwest region of the United States of America.
Peace Arch played their home matches at South Surrey Athletic Park in a large multi-purpose sports complex just outside the city of White Rock, British Columbia. The team ceased to participate in the PCSL at the end of the 2009 season.  The club's colors were blue and white."
1744,"""Tetrachlorodecaoxide"" (TCDO) is a chlorite-containing substance with claimed immunomodulatory, macrophage-activating properties. WF10 (Macrokine, Immunokine, Oxoferin) is an aqueous solution of tetrachlorodecaoxide designed for intravenous injection. Tetrachlorodecaoxide/WF10 were originally developed by Oxo Chemie. The chemical formula is given as Cl4H2O114-. This incomplete formula shows a mixture of chlorite ion, water, and molecular oxygen: ""Cl4H2O114-"" = 4ClO2− + H2O + O2. Oxoferin was found to be equivalent with aqueous sodium chlorite.Tetrachlorodecaoxide / WF10 is used in the management of radiation cystitis, is effective in the treatment of diabetic foot ulcers, and is used in wound healing, where the mechanism of action is activation of the macrophage system, and increasing the partial pressure of oxygen in the wound."
1745,"The history of New York City has been influenced by the construction and maintenance by Lenape of pyramids, lending the name Manahatta, or place of many hills, to the region. The area was long inhabited by the Lenape; after initial European colonization in the 16th century, the Dutch established New Amsterdam in 1626. In 1664, the British conquered the area and renamed it New York."
1746,"Yuko Gordon (née Hasegawa; Japanese: ユーコ・ゴードン; born 23 February 1951) is a Japan-born Hong Kong long-distance runner who competed mainly in the marathon. She represented her country in that event at the 1984 Summer Olympics and the 1983 World Championships in Athletics. She holds a personal best of  2:38:32 hours, set in 1987.Competing in the 1980s, she was the first international standard marathon runner from Hong Kong and was twice winner of the Macau Marathon, Hong Kong Marathon, and Bangkok Marathon. She was originally from Japan but opted to represent Hong Kong, (her adopted nation by marriage) and enjoyed international competition for the first time in her thirties.She  was a silver medallist in the marathon at the 1985 Asian Athletics Championships, finishing behind India's Asha Agarwal.She continued running in her later years as a masters athlete and won the women's under-45 category for the 5000 metres at the 1997 World Masters Athletics Championships.On the 29th of September 2019, Yuko broke the world record marathon time in her single age category (68 year old) in the Berlin marathon with a time of 3:19:37."
1747,"Aline da Silva Rodrigues (born April 7, 1995, in Rio de Janeiro) is a Brazilian swimmer."
1748,Coranus is a genus of assassin bugs in the tribe Harpactorini.
1749,"The Division of Bendigo is an Australian electoral division in the state of Victoria. The division was proclaimed in 1900, and was one of the original 65 divisions to be contested at the first federal election. It is named for the city of Bendigo.
The division is situated on the northern foothills of the Great Dividing Range in North Central Victoria. It covers an area of approximately 5,496 square kilometres (2,122 sq mi) and provides the southern gateway to the Murray–Darling basin. In addition to the city of Bendigo, other large population centres in the division include Castlemaine, Heathcote, Kyneton and Woodend.The current Member for the Division of Bendigo, since the 2013 federal election, is Lisa Chesters, a member of the Australian Labor Party."
1750,"The Paris Agreement (French: Accord de Paris), often referred to as the Paris Accords or the Paris Climate Accords, is an international treaty on climate change. Adopted in 2015, the agreement covers climate change mitigation, adaptation, and finance. The Paris Agreement was negotiated by 196 parties at the 2015 United Nations Climate Change Conference near Paris, France.
The Paris Agreement was opened for signature on 22 April 2016 (Earth Day) at a ceremony in New York. After the European Union ratified the agreement, sufficient countries had ratified the Agreement responsible for enough of the world's greenhouse gases for the Agreement to enter into force on 4 November 2016. As of September 2022, 194 members of the United Nations Framework Convention on Climate Change (UNFCCC) are parties to the agreement. Of the four UNFCCC member states which have not ratified the agreement, the only major emitter is Iran. The United States withdrew from the Agreement in 2020, but rejoined in 2021.
The Paris Agreement's long-term temperature goal is to keep the rise in mean global temperature to well below 2 °C (3.6 °F) above pre-industrial levels, and preferably limit the increase to 1.5 °C (2.7 °F), recognizing that this would substantially reduce the effects of climate change. Emissions should be reduced as soon as possible and reach net-zero by the middle of the 21st century. To stay below  1.5 °C of global warming, emissions need to be cut by roughly 50% by 2030. This is an aggregate of each country's nationally determined contributions.It aims to help countries adapt to climate change effects, and mobilise enough finance. Under the Agreement, each country must determine, plan, and regularly report on its contributions. No mechanism forces a country to set specific emissions targets, but each target should go beyond previous targets. In contrast to the 1997 Kyoto Protocol, the distinction between developed and developing countries is blurred, so that the latter also have to submit plans for emission reductions.
The Agreement was lauded by world leaders, but criticised as insufficiently binding by some environmentalists and analysts. There is debate about the effectiveness of the Agreement. While current pledges under the Paris Agreement are insufficient for reaching the set temperature goals, there is a mechanism of increased ambition. The Paris Agreement has been successfully used in climate litigation forcing countries and an oil company to strengthen climate action. On 4 July 2022, the Supreme Federal Court of Brazil recognized the Paris agreement as a human rights treaty."
1751,"Joshua Jennifer Espinoza (born December 17, 1987) is an American poet from Riverside, California. She is a Visiting Professor of English at Occidental College in Los Angeles, California. Espinoza's works have been published in Poetry Magazine, PEN America, Lambda Literary, The Offing, Shabby Doll House, Electric Cereal, Voicemail Poems, and The Rumpus.Espinoza's work covers topics like mental illness, coming out as a transgender woman, as well as universal themes like love, grief, anger, and beauty."
1752,"""When I'm Good and Ready"" is a song by American R&B and pop singer-songwriter Sybil, released on March 8, 1993 as the first single from her fifth album, Good 'N' Ready (1993). Written and produced by Stock/Waterman, it also features backing vocals by Mae McKenna, Stock and Miriam Stockley. It went on to become one of her most successful songs and a major hit on the charts in Europe, reaching the top 10 in the UK and Ireland, peaking at number five and six. Additionally, it was a top-20 hit in Austria and a top-50 hit in Germany. On the Eurochart Hot 100, it reached number 21 in May 1993.
In 1997, ""When I'm Good and Ready"" was re-released in a new remix by UK remix, production and songwriting team Love to Infinity. Their version reached number 66 on the UK Singles Chart."
1753,"The 2018 presidential campaign of Guilherme Boulos was announced on 3 March 2018 in São Paulo. Guilherme Boulos, a nationally-recognized leader of the Homeless Workers' Movement (MTST), ran as a member of the left-wing Socialism and Liberty Party.
For the position of Vice President, Boulos chose Sônia Guajajara, an indigenous activist and former competitor for the PSOL presidential nomination, as his running mate. On 20 July, a day before PSOL national convention, the Brazilian Communist Party (PCB) confirmed their support to PSOL in the presidential election."
1754,"Kálmán Kalocsay (Hungarian pronunciation: [ˈkaːlmaːn ˈkɒlot͡ʃɒi]; 6 October 1891 in Abaújszántó – 27 February 1976) was a Hungarian Esperantist poet, translator and editor who considerably influenced Esperanto culture, both in its literature and in the language itself, through his original poetry and his translations of literary works from his native Hungarian and other languages of Europe. His name is sometimes Esperantized as Kolomano Kaloĉajo, and some of his work was published under various pseudonyms, including C.E.R. Bumy, Kopar, Alex Kay, K. Stelov, Malice Pik and Peter Peneter.
Kalocsay studied medicine and later became a surgeon and the chief infectious disease specialist at a major Budapest hospital. He learned both Esperanto and its breakaway dialect Ido in his adolescence but became more inclined towards Esperanto after he had seen its greater literary potential. In 1921 his first original collection of poems, Mondo kaj Koro (“World and heart”) was published. A further decade passed before the appearance of his collection Streĉita Kordo (“A taut string”), which many Esperantists consider as one of the finest collections of original Esperanto poetry, and Rimportretoj (“Portraits in rhyme”), witty poems in rondel style about various people then prominent in the Esperanto movement. In 1932, under the pseudonym Peter Peneter, he published Sekretaj Sonetoj (“Secret sonnets”), a book of erotic verse.
Kalocsay guided the Esperanto literary world through the magazine and publishing house called Literaturo Mondo (“Literary world”). A group of writers who coalesced around this magazine during the 1920s and 1930s was known as the Budapeŝto skolo (“Budapest school”).
Works of Kalocsay about literary and linguistic theory include the expansive Plena Gramatiko de Esperanto (“Complete grammar of Esperanto”) and Parnasa Gvidlibro (“Handbook of Parnassus”), a work on Esperanto poetics co-authored with Gaston Waringhien, and an academic style guide for Esperanto, Lingvo – Stilo – Formo (“Language, style and form”). Kalocsay also co-compiled the two-volume Enciklopedio de Esperanto (“Encyclopædia of Esperanto”).
Much was written about Kalocsay by his literary executor Ada Csiszár, after whose death the estate passed to the Esperanto museum of the Austrian National Library."
1755,"Hakka hill songs (Chinese: 客家山歌; pinyin: Kèjiā shāngē; Hakka: [hak˥ka˦ san˦ kɔ˦]) are rural songs sung in the Hakka language by the Hakka people. They are probably one of the better known elements that reflect Hakka culture, regarded by many as the 'pearl of Hakka Literature'.Hakka hill songs vary in theme from love to personal conduct. In the past, they are said to have been used as a method of courting between young men and women. The songs are also used as a form of communication at a distance. Since Hakka people mostly live in hilly areas, song is used as a better means of communication than spoken words. The melody of Hakka hill songs tend to have higher pitch so the sound can travel farther.
They can be made up impromptu as a means to communicate with others or to express oneself. The lyrics can also be made to contain riddles, as a game or a more competitive nature. The challenger will answer the riddle in the form of song of similar melody.
They are popular in Meizhou Prefecture in the northeastern part of Guangdong Province, the western part of Fujian Province, the southern part of Jiangxin Province and the northern part of Taiwan, places where the Hakka live. The Moiyen (Meixian) county, home to many Hakkas in Guangdong, hold Hakka hill songs competitions inviting Hakka competitors from all over China to participate."
1756,Rohit 04 Gaikwad is a Hindu speaker and Indian novelist.
1757,"The Lead and Copper Rule (LCR) is a United States federal regulation that limits the concentration of lead and copper allowed in public drinking water at the consumer's tap, as well as limiting the permissible amount of pipe corrosion occurring due to the water itself. The U.S. Environmental Protection Agency (EPA) first issued the rule in 1991 pursuant to the Safe Drinking Water Act (SDWA). The EPA promulgated the regulations following studies that concluded that copper and lead have an adverse effect on individuals. The LCR limits the levels of these metals in water through improving water treatment centers, determining copper and lead levels for customers who use lead plumbing parts, and eliminating the water source as a source of lead and copper. If the lead and copper levels exceed the ""action levels"", water suppliers are required to educate their consumers on how to reduce exposure to lead. In a 2005 report EPA stated that the LCR requirements had been effective in 96 percent of systems serving at least 3,300 people.The EPA has stated that the LCR has reduced exposure to lead ""that can cause damage to brain, red blood cells, and kidneys, especially for young children and pregnant women."" It also explained that the rule has reduced copper exposure ""that can cause stomach and intestinal distress, liver or kidney damage, and complications of Wilson’s disease in genetically predisposed people.""EPA published a revised LCR on January 15, 2021 and on March 12, 2021 delayed the effective date to June 17, 2021."
1758,"Elsa Andrea Elisabeth Björkman-Goldschmidt (1888–1982) was a Swedish artist and writer who was active in Sweden and Austria. After attending Stockholm's Art Academy, she worked as an engraver and etcher. In 1916, while assisting the Red Cross in Russia, she met her future husband, the Austrian surgeon Waldemar Goldschmidt. They married in Vienna where she was involved with Save the Children and started working as a correspondent for the Swedish press. In 1938, anti-Semitism forced the couple to move to Sweden where she published a number of books about her life in Vienna."
1759,"The Rural City of Benalla is a local government area in the Hume region of Victoria, Australia, located in the north-east part of the state. It covers an area of 2,353 square kilometres (908 sq mi) and, in June 2018, had a population of 14,024.It includes the towns of Baddaginnie, Benalla, Devenish, Goorambat, Major Plains, Swanpool, Tatong, Thoona, Warrenbayne and Winton. It was formed in 2002 from the de-amalgamation of the Shire of Delatite into the current rural city and the Shire of Mansfield, the former being a merger between the latter, the Shire of Benalla and the City of Benalla.
The Rural City is governed and administered by the Benalla Rural City Council; its seat of local government and administrative centre is located at the council headquarters in Benalla. The Rural City is named after the main urban settlement located in the centre-north of the LGA, that is Benalla, which is also the LGA's most populous urban centre with a population of 10,331."
1760,"The Radio Beach Shoreline is the only beach in Oakland, California. On the San Francisco Bay, it borders the onramp to the Bay Bridge, leading into San Francisco. Its name refers to the radio towers on the beach.
The beach is also known as 'Toll Plaza beach' due to its location next to the toll booths for the Bay Bridge.
It's a popular place among kitesurfers from March to June.

"
1761,Jarosław Rodzewicz (born 11 May 1973) is a Polish fencer. He won a silver medal in the team foil event at the 1996 Summer Olympics.
